device: esit_device_01
Air Pressure    Fahrenheit      Humidity
1002.96		77.84375	52.172852
1002.93		77.1125		52.172852
1002.9		77		52.075195
1002.92		77.225		51.977539
1002.93		77		51.977539
1002.94		77		51.977539
1002.89		77.16875	51.977539
1002.92		77.95625	52.172852
1002.88		76.60625	52.368164
1002.88		76.8875		52.270508
1002.84		76.775		52.172852
1002.84		77.3375		51.977539
1002.91		77.28125	51.879883
1002.88		77.1125		51.879883
1002.87		77.16875	51.782227
1002.9		77.28125	51.782227
1002.86		77.05625	51.68457
1002.91		76.775		51.68457
1002.91		78.18125	51.782227
1002.88		77.1125		51.782227
1002.92		77.3375		51.68457
1002.9		77.225		51.586914
1002.9		77.39375	51.586914
1002.87		77.28125	51.489258
1002.9		77.50625	51.489258
1002.88		77.39375	51.586914
1002.89		77.50625	51.586914
1002.95		77		51.586914
1002.93		77.225		51.586914
1002.9		77.3375		51.489258
----------------------------------------
min 1002.84	76.60625 	51.489258
avg 1002.90	77.23625 	51.8408204
max 1002.96	78.18125 	52.368164
